"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","3","706-1509-1-ND","IS31FL3733-QFLS4-TR","IC LED DRVR LINEAR 46MA 48QFN","","0","5.11000","15.33"
"2","12","311-1364-1-ND","CC0805KKX7R8BB474","CAP CER 0.47UF 25V X7R 0805","","0","0.16000","1.92"
"3","3","S7035-ND","PPPC021LFBN-RC","CONN HEADER FEMALE 2POS .1"" GOLD","","0","0.46000","1.38"
"4","3","S9008E-10-ND","LPPB101NFFN-RC","CONN HEADER .050"" 10POS PCB GOLD","","0","1.82000","5.46"
"5","10","311-1910-1-ND","CC0805ZRY5V8BB104","CAP CER 0.1UF 25V Y5V 0805","","0","0.09200","0.92"
"6","10","311-100KCRCT-ND","RC0805FR-07100KL","RES SMD 100K OHM 1% 1/8W 0805","","0","0.03200","0.32"
"7","10","311-1.00KCRCT-ND","RC0805FR-071KL","RES SMD 1K OHM 1% 1/8W 0805","","0","0.03200","0.32"
"8","10","311-20.0KCRCT-ND","RC0805FR-0720KL","RES SMD 20K OHM 1% 1/8W 0805","","0","0.03200","0.32"
"9","10","311-0.0ARCT-ND","RC0805JR-070RL","RES SMD 0 OHM JUMPER 1/8W 0805","","0","0.02800","0.28"
"10","3","HDR127MET40M-G-RA-TH-ND","HDR127MET40M-G-RA-TH","1.27 MM 40 PIN RIGHT ANGLE MALE","","0","2.07000","6.21"